,Job Title,Job Description,Salary,Position,Location,Updated Time,Expiry Date,Job Reference
13,Data Engineer - Semi Remote - up to R1.2m per annum at e-Merge IT Recruitment,"Want to work in an environment with buzzing, energetic, smart, and motivated people?  An innovative firm leading the way in health, finance and insurance is currently seeking the skills of a highly motivated Data Engineer.  The Data Engineer will work collaboratively with the Program Managers, Data Scientists, Systems Architects to define data sources and to build a custom data framework that facilitates Machine Learning, AI and productionising AI models based on the principles of ETL/ELT.  Apply now!!!  Requirements:  Honours or Master's Degree in Computer Science7-8 years commercial experienceData Mining proficiencyMachine Learning experienceRPythonScalaJavaAzure Data FactoryAzure Synapse AnalyticsAzure Data LakePower BISQLAWS (Advantageous)Responsibilities:  Develop and implement a reusable architecture of data pipelines to make data available for various purposes including Machine Learning (ML), Analytics and ReportingWork collaboratively as part of team engaging with system architects, data scientists and business in a healthcare contextDefine hardware, tools, and software to enable the reusable framework for data sharing and ML model productionlisationWork comfortably with structured and unstructured data in a variety of different programming languages such as SQL, R, python, Java etcUnderstanding of distributing programming and advising data scientists on how to optimally structure program code for maximum efficiencyBuild data solutions that leverage controls to ensure privacy, security, compliance, and data qualityUnderstand meta-data management systems and orchestration architecture in the designing of ML/AI pipelinesReference Number for this position is NN54133 which is a Semi-Remote permanent position offering a cost to company salary of up to [URL Removed] per annum negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

SQL
R
Java
Scala

Desired Qualification Level: 

Degree

","R100,000 per month",Permanent Senior position,"Johannesburg Region, Gauteng",Posted 22 Jan 2022,Expires in 17 days,Job 2444834 - Ref NN54133
14,Data Engineer,"Modus has been on the leading edge of collaborating great talent in IT with forward thinking organisations for the passed 14 years. The essence of our work is centric to creating impactful relationships with our candidates, which has been the eco system of our business.  Our valued client, who is a giant in the insurance is looking for a highly skilled data engineer to join their dynamic team. Please see the below requirements for the role:  Technical Skills:  R, Python, Scala and JavaSQL and experience with MS Azure tools such as Data Factory, Synapse Analytics, Data Lake, Databricks, Azure stream analytics and PowerBIModern Azure datawarehouse skillsUnix/Linux admin experience including shell script developmentAI or model developmentExperience working on large and complex datasetsBig Data and distributed computing principles (Hadoop and MapReduce)ML model optimization skills in a production environmentProduction environment machine learning and AIDevOps/DataOps and CI/CD experienceAWS experienceQualifications:  Honours or Master's degree in BSc Computer ScienceHonours or Master's degree in Engineering or Software Engineering with solid experience in data mining and machine learningOther qualifications will also be considered if accompanied by the relevant experience5 to 15 years of experience is preferred
Desired Skills: 

R
Python
Scala
Java
SQL
MS Azure
Data Factory
Synapse Analytics
Data Lake
Databricks
PowerBI
Unix
Linux
AI
ML
DevOps
DataOps
CI/CD
AWS

",Undisclosed,Permanent Senior position,"Johannesburg, Gauteng",Posted 18 Jan 2022,Expires in 21 days,Job 2441995
15,Associate Equity Analyst,"An exciting opportunity to join a high performing asset manager as an Associate Equity Analyst has become available!  This perrmanent position represents an opportunity to work within a highly successful and experienced investment team, and to learn about multiple industries and companies.  Key Responsibilities  Production of working Excel based valuation models for the companies.Working with company financial statements, analysis, synthesis, capturing, and modelling of historic financial and operational data.Accessing Bloomberg company financial data where useful (related Bloomberg training was be provided).Providing a brief summary of the business model and key driversBuilding of operational and financial statement forecasts - base case assumption for key drivers will be provided by the analyst on the stock.Building valuation models.Experience needed  Newly qualified CA(SA) OR 12 - 24 months experiencePost graduate degree with meritStrong interest/passion for investmentsQualifications  Bcom Hons - Accounting /Economincs/Finance & Investments, etc., with a minimum of 10 distinctionsCA(SA)
Desired Skills: 

Equity
Bloomberg

Desired Work Experience: 

1 to 2 years

",R Undisclosed,Permanent Intermediate position,"Claremont, Western Cape",Posted 13 Jan 2022,Expires in 16 days,Job 2439989
16,Data Analyst,"Well established Telecommunications Company is looking for a Data Analyst based in Durban  Minimum Requirements:  Grade 12 (Maths essential)Relevant Degree / Diploma in IT2 - 5 years' experience in a similar roleKnowledge of SQL, Google Analytics and PowerBIAdvanced level MS Excel and Word and Office 360Understanding of digital platforms and technologiesMust have a proven track record in compiling reportsAttention to detailAbility to multi-taskAbility to work under pressureMust be able to handle problems when it comes to the operation of the businessSolve problems escalated by the managerStrong administrative and computer skillsGood verbal and written communication skillsResponsibilities:  Cleanse, transform, model, and interrogate multiple data sets to find trends, insights and opportunities to assist client's in measuring campaign performanceConduct a thorough analysis on campaigns that have already been executed and identify areas for improvement and further efficienciesClosely working with IT partners to build and provide teams with visualization tools for performance dashboardsBuild required data views and calculations using Jasper Reports and Power BILook for opportunities to automate and speed up the generation of reportsDevelopment of monthly and adhoc reports as requiredShould you not be contacted within 7 days, please consider your application as unsuccessful
Desired Skills: 

Data Analyst
SQL
Google Analytics
PowerBI
Reporting
MS Excel

Desired Work Experience: 

2 to 5 years

",Undisclosed,Permanent Intermediate position,"Morningside, KwaZulu-Natal",Posted 10 Jan 2022,Expires in 13 days,Job 2435060 - Ref TAL3645
17,Data Engineer at QES,"My client based in Cape Town (North) is currently looking for a Google Data engineer to join them on an independent contract basis  About the roleThe primary focus of this position is to use technical skills to put software, systems and data together in a way that extracts meaningful insights from raw data. You will need to be helpful and supportive to your team and fellow developers. You join an energetic, focused and dynamic team.  Strengths  The natural tendency to take ownership and responsibilityStrong problem solving, critical thinking, effective planning and organisational skillsDetail-oriented with excellent communication skillsYou have a can-do attitude and positive outlook on lifeCan cope under pressureCurious and interested in analysing problems and possible solutionsStrong team playerSelf-driven learner, passionate about new technologyAbove all, be passionate about what you doQualifications and key competencies  MatricTertiary qualification in ITPreferred cloud experience in AWS/AZURE/GCPAt least 3 years of data warehouse ETL experienceDimensional ModellingData analysesExperience with data visualization and visualization tool(s)Knowledge of the retail industry will be beneficialUnderstanding and experience with version control SVN/GITPreferred - Korn shell scripting, Python/Java, SQLGoogle Cloud Platform experience would be looked upon favourablyHaving a broad understanding of different SDLC'sPreferred agile experienceResponsibilities  Interact with clients to understand requirements and business problems/needs.Identify, analyse, visualise and understand supporting data to propose solid solutions.Create technical documentation for reference and reporting.Support existing solutions within GCP and Oracle.Doing standby on a rotating basis.
Desired Skills: 

Google Engineer
Data Engineer
Google
Data
AWS
Azure
Data Modeling

Desired Work Experience: 

5 to 10 years

Desired Qualification Level: 

Grade 12 / Matric

",Undisclosed,Contract Intermediate position,"Bellville, Western Cape",Posted 06 Jan 2022,Expires in 9 days,Job 2436620 - Ref Data Eng
18,Analyst Developer: Bancs,"A well established Commercial Bank is looking for an experienced Analyst Developer: Bancs to join their fast growing team on a remote working basis. Purpose: To be responsible for project design, development, implementation and maintenance of java based initiatives on the Bancs platform.Focus on integration and new solutions, scaling and integration points; achieving the design, including breaking down the technical work packets and building the architecture.Obtain technical knowledge related to the Back-End (BANCS) development environments and platform architecture.Independently create solution design documentation (technical specifications) from book of work initiatives and escalated investigations of bugs in ProductionExecute the design:Understand the requirement (business need and purpose)Understand the existing systems that will be affected by new requirementsUnderstand the impact on other systems (i.e. Front-End)Set-up a functional description (FD)  handover / technical specification (TS) high-level design meetingEnsure the design is simple, easy maintainable, user orientated & user friendly, efficient and adhere to the Bank’s Enterprises design standards, tooling and methodologies.Develop major performance efficient enhancements in the production environment according to the provided technical specifications.Ensure the application of simplistic and effective Java codeUnderstand the impact of code: engage with Bancs Core technical and Business Analysts for specific scenarios to be tested & impact of code changes on other parts of the BANCS systemDevelop new requirements for specific projects under leadership of Project Team LeaderFix major and minor bugs in the Production environmentFix escalated bugs for existing Back-End products in the Production environmentConduct investigations based on requests  Provide feedback to investigation requester and Team Leader of relevant Business AnalystPerform unit and integration testing on existing environments and new developmentsProvide testing assistance to developer(s)Update / amend test plans according to solution development to ensure coverage of all areasProvide implementation instructions for new developmentProvide support to the Development / QA / Production environment(s)Take and perform a lead role in projectsDesign and develop new products for specific projects as per the book of work initiatives; unpack what exactly needs to be done at a technical level and break it down into work packets for the developer to completeQualifications: Matric Bachelor's Degree in Information Technology, Computer Science or similiar degreeKnowledge:Minimum:IT systems development processesApplication developmentStandards and governanceTesting practicesBanking systems environmentSystem architecture (technical design and implementation processes)Agile development life cycleIdeal Knowledge:UMLSystems analysis and designSystem architecture (technical design and implementation processes)Solid understanding of:Banking systems environmentBanking business modelBest practices for Quality Assurance (QA)Object Orientated Development environment (i.e. Java, Spring Framework, JBoss, Hibernate)Should you not receive a response from us within one week of your application, your application has unfortunately not been successful.
",R Undisclosed,Permanent Senior position,"Winelands, Western Cape",Posted 03 Jan 2022,Expires in 2 days,Job 2421602 - Ref JHB000428AS
19,DATA VISUALISATION ANALYST at Mancosa,"MANCOSA, a DHET registered and CHE accredited private higher education distance education provider, offering undergraduate and postgraduate business qualifications, has the following vacancy available: DATA VISUALISATION ANALYST. The core purpose of the job is to gather, analyse and translate large amounts of institutional information into a visual context, such as a map, chart or graph, to provide a clear and comprehensive overview of institutional activities and make data easier to understand and extract insights from. This will be a key function for measuring, monitoring and visualising the achievement of institutional objectives, as well as to inform institutional decision-making and strategic planning. CORE FUNCTIONS INCLUDETransforming large data sets to make it easier to identify patterns, trends and outliers and summarize key takeaways for Executive oversight, institutional monitoring and decision makingConceptualizing, designing and creating compelling cutting edge data visualizations including maps, charts, and graphs based on institutional dataTransforming institutional data reports into easily understandable visualsClean and organize large datasets, for analysis and visualization; verify and ensure accuracy, integrity, and consistency of data. Perform appropriate tests to ensure accuracy and consistency of all statistical data. Contribute towards implementation and functioning of the institutional SIS and Quality Management SystemProduce appropriate reports for governance structuresExecute special or ad-hoc data projects as determined by Exco and operational requirements from initial concept through to execution and final delivery, on time and at a highest possible standardDesigning appropriate trackers and dashboards for a range of different departments and committeesContinuously identify new creative solutions for analysis, reporting and data measurementWork effectively with multiple departments, stakeholders and committees including Innovations; Monitoring & Evaluation; Teaching and Learning; and AssessmentsRespond timeously to ad-hoc requests for data visualizationsStay abreast of best practices in the use of technology in data visualization and evaluation and participate in relevant industry activities (conferences, imbizos, etc. ) for professional developmentAssist the Director with the maintenance of the Innovation CentrePerform other job-related duties as assigned by the Manager or the DirectorQUALIFICATIONSA Bachelor's Degree in data science, statistics, or a related field, master's degree preferred. EXPERIENCE3 years of professional experience in a research and data visualization environment. 3 years of experience working with multiple data systems, large relational databases, and SQLCOMPETENCIES AND SKILLSExpertise in building and creating engaging and effective dashboards and data visualizations with common visualization tools e. g. PowerBI and TableauExpertise in statistical analysis, modelling, and tools such as Excel, R, STATA, and SPSSExcellent visual skillsStorytelling skills: Excellent communication and presentation skills and ability to weave a coherent, compelling narrative around the available dataAnalytical and data-driven with a demonstrated ability to operate both strategically and tacticallyCreative vision, a passion for learning and willingness to adopt and share new ideasAbility to collaborate with a wide variety of departmentsAbility to manage and coordinate multiple projects and tasks simultaneously, with an exceptional attention to detailHighly organised and efficient, with an ability to work towards and meet tight deadlinesKnowledge of higher education and business analysis will be beneficialSimultaneous ability to work as a member of a team and to work independently, and the ability to function effectively under uncertaintyADDITIONAL REQUIREMENTSAfter hours, Saturday work and travel may be required. Special or ad-hoc projects may be allocated as determined by the institutions operational requirements.
",R Undisclosed,Contract Intermediate position,"Durban Region, KwaZulu-Natal",Posted 30 Nov 2021,Expires in 8 days,Job 2434090 - Ref manco_000134
20,Medical Scientist (Jnr) 12 Months P/Time/Wits CLS at AJ Personnel,"Main purpose of the job:  Apply research and development skills to determine the value of new innovations and ensure these new technologies continue their development through the innovation pipeline towards implementation and impact on patient care for global health security  Location:  CLS Braamfontein and WITS Medical School, Parktown  Key performance areas:Research design and implementation: -  Conceptualize and design the research Conduct literature review Write research and funding proposals Obtain ethical approval from relevant regulatory bodies Write research protocols and SOPs for qualitative studies Develop and design research tools Train the Research Team and other relevant staff Conduct fieldwork to collect data Monitor the progress of the research project Compile relevant reports to stakeholders Conduct data analysis and write up results Stay abreast with relevant research findings and collaborate closely with other investigators on related studies  Research dissemination: -  Publish scientific publications Compile conference presentations Disseminate research findings internally and to universities and other stakeholders such as the community, CAGs, and media  Required minimum education and training:  Minimum BSc Degree - Medical Science  Required minimum work experience:  Minimum 1-2 years experience in medical or research laboratory  Desirable additional education, work experience, and personal abilities:  Good Clinical Laboratory Practice (GCLP) and Good Clinical Practice (GCP The incumbent will be exposed to infectious disease samples The job has a high workload and requires a person able to follow through methods with attention to detail with an organized approach Interact with colleagues, managers, suppliers, and internal and external sponsors  TO APPLY:  Only if you do meet the minimum job requirements and experience as mentioned above, you may submit a detailed updated CV. Please Apply Online and complete your registration on Ditto Hire (our application tracking system) to enable and protect you as a candidate to accept the new POPIA terms and conditions. This will then create your permanent profile with which you can apply for all jobs as advertised by AJ PERSONNEL. However, you may remove your profile from AJ PERSONNEL when you are no longer in the job market. AJ Personnel is fully POPIA Compliant. Please take note that the applicants who do not adhere to the above criteria will not be considered for the respective position. The closing date for all applications: 03 February 2022. Wits Health Consortium will only respond to shortlisted candidates. Candidates who have not been contacted within two weeks of the closing date can consider their applications to be unsuccessful. Note WHC, in accordance with their Employment Equity goals and plan, will give preference to suitable applicants from designated groups as defined in the Employment Equity Act 55 of 1998 and subsequent amendments thereto.  Please note:  AJ Personnel is only responsible for the advertising of the advertisement on behalf of their client Wits Health Consortium. AJ Personnel does not have any salary or other information regarding the position. 
About The Employer: 
BackgroundThe Clinical Laboratory Services (CLS), is a division of the Wits Health Consortium (WHC) of the School of Pathology. CLS’s main purpose is to support the teaching and research activities of the School of Pathology through the provision of laboratory services, diagnostic and research advice, and data management support in accordance with the standards of Good Clinical Laboratory Practice (GCLP).
",R Undisclosed,Contract Junior position,"Johannesburg Region, Gauteng",Posted 28 Jan 2022,Expires in 27 days,Job 2447409 - Ref 3409544820
21,BI- Developer (with Cloud and Data  Science experience) - B1703 Evdb at Mediro ICT,"We are looking for a Expert BI Consultant Developer with Cloud experience and Qlik / Qliksense  Managing projects / processes  Ability to develop within a specific sought-after programming language  Strong BI Consultant / Development experience  Strong working knowledge with software development tools, techniques and approaches used to build application solutions  Working knowledge with software development tools, techniques and approaches used to build application solutions  Cloud computing technologies, Business drivers and emerging computing trends Understanding of integration between different technologies  Coordination between development and support environments  Assisting with the business case  Planning and monitoring  Eliciting requirements Requirement organisation  Translating and simplifying requirements  Requirements management and communication  Requirement analysis  Document requirements in appropriate format depending on methodology followed  Assist with identification and management of risksMinimum Requirements At least 8 – 10 years BI reporting technology experience Qlik  At least 8 – 10 years’ experience in BI consulting  Experience in automated testing on BI (within a BI and analytics solution)  3 years of frontend programming language (JavaScript, Angular / Typescript)  At least 3 -5 years’ experience in data science (Algorithm understanding, experience with data science using R + Python  3 years of backend programming experience with either Java or C#  Agile working experience advantageous  3 – 5 years of Cloud architecture experience (focus Dev Ops) advantageous Expert BI knowledge and understanding of Qlik / Qliksense comprising data extraction, data transformation and data display  Qlikview / Qliksense  Experience in building data/ETL pipeline  Clean the data and transfer data into a reusable data model  Create complex Queries and Qlik dashboards  Good experience with testing (manual and automated testing for data validation to ensure the accuracy of data transformations  Creating Qlik Mash ups (Queries with Angular code, Wizard VizLib)  Understanding of Python Python 3x) and R as data analytic languages (advanced knowledge for Python, basic knowledge for R)  Exceptional analytical skills analysing large and complex data sets, and a good understanding existing algorithm (Advanced).  Good understanding of Frontend programming language  JavaScript, Angular – Typescript  Good understanding of a major backend language (advanced)  Java or C#Additional Requirements:• SAP Data Extraction
",R Undisclosed,Contract Senior position,"Gauteng, South Africa",Posted 26 Jan 2022,Expires in 25 days,Job 2446948 - Ref EVDB_4961461065
22,Data Architect at Reverside,"Senior Data Architect Role in JohannesburgWe are looking for Senior Data Architect Professionals with 5 - 15 years of solid development experience in Database Engineering and has a solid knowledge base of the SDLC.
About The Employer: 
Job Brief:The role entails architecting the data platform layer, data cleansing layer, reporting, and analytical layers within a cloud environment. Work closely with Data Scientists to understand model features and link back to the transactional environment to understand data quality, data relationships, and data availability. Document and define frameworks with the Data Engineer to build the data platform. Together these teams will enable data-driven actionable insights.Responsibilities: Provide Data Architecture (DA) support for the Data Engineering teamDefine DA for the Data Science teams and participate in the review and walk-through sessions for model fit and model producionizationAssist with the definition of custom meta data models for ELT/ETLDirect data automation capabilities with the Data Engineer and Data ScientistProfile new data sources in a variety of formats including Json, XML, etcDefine data quality rules with Data Scientists to clean dataDefine data mapping and transformation rules between source and data warehouse Work closely with the Data Engineer to facilitate Data Governance including access and security controlExpert documentation of DA for new data sources, metadata, and productionized information flowTechnical skills core: Programming in R, PythonExpert database knowledge in SQL and experience with MS AzureModern Azure data warehouse design skillsExceptional data modelling skills ie physical, dimensional, and relational 3N formsExperience working on large and complex datasetsDevOps/DataOps and CI/CD experienceStrong communicator verbally and in writingProfessional Qualifications & Experience Honours or Master’s degree in BSc Computer ScienceHonours or Master’s degree in Engineering or Software Engineering with solid experience in data mining and machine learningOther qualifications will also be considered if accompanied by the relevant experience5 to 15 years of experience is preferred
",R Undisclosed,Contract Senior position,"Johannesburg Region, Gauteng",Posted 28 Jan 2022,Expires in 26 days,Job 2447497 - Ref MO220128_551
23,Data Architect - Semi Remote - up to R1.2m per annum at e-Merge IT Recruitment,"One of Africa's innovative and impactful financial services firms is currently in search for a Data Architect to join their winning, buzzing, and energetic team.  The applicant will be working within a highly specialized and growing team to enable delivery of data and advanced analytics system capability.  Apply Now!!!  Requirements:  Degree in Computer Science7-8 years of commercial experienceRPythonSQLAzureDevOpsCI/CDAWS (Advantageous)Responsibilities:  Provide Data Architecture (DA) support for the Data Engineering teamDefine DA for the Data Science teams and participate in review and walk-through sessions for model fit and model productionlisationAssist with the definition of custom meta data models for ELT/ETLDirect data automation capabilities with the Data Engineer and Data ScientistProfile new data sources in a variety of formats including JSON, XMLDefine data quality rules with Data Scientists to clean dataDefine data mapping and transformation rules between source and DatawarehouseWork closely with Data Engineer to facilitate Data Governance including access and security controlExpert documentation of DA for new data sources, metadata and productionized information flowReference Number for this position is NN54282 which is a Semi-Remote permanent position offering a cost to company salary of [URL Removed] per annum negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

Python
SQL
Azure
DevOps

Desired Work Experience: 

5 to 10 years Technical / Business Architecture

Desired Qualification Level: 

Degree

","R83,300 - R100,000 per month",Permanent Senior position,"Johannesburg, Gauteng",Posted 27 Jan 2022,Expires in 21 days,Job 2445510 - Ref NN54282
24,Data Architect - Semi Remote - R1.2m per annum at e-Merge IT Recruitment,"One of Africa's innovative and impactful financial services firms is currently in search for a Data Architect to join their winning, buzzing, and energetic team.  You will be working within a highly specialized and growing team to enable delivery of data and advanced analytics system capability.  Apply now!!!  Requirements:  Degree in Computer Science7-8 years of commercial experienceRPythonSQLAzureDevOpsCI/CDAWS (Advantageous)Responsibilities:  Provide Data Architecture (DA) support for the Data Engineering teamDefine DA for the Data Science teams and participate in review and walk-through sessions for model fit and model productionlisationAssist with the definition of custom meta data models for ELT/ETLDirect data automation capabilities with the Data Engineer and Data ScientistProfile new data sources in a variety of formats including JSON, XMLDefine data quality rules with Data Scientists to clean dataDefine data mapping and transformation rules between source and DatawarehouseWork closely with Data Engineer to facilitate Data Governance including access and security controlExpert documentation of DA for new data sources, metadata and productionized information flowReference Number for this position is NN54282 which is a Semi-Remote permanent position offering a cost to company salary of [URL Removed] per annum negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

DevOps
Python
SQ
AWS

Desired Qualification Level: 

Degree

","R100,000 per month",Permanent Senior position,Work From Home,Posted 27 Jan 2022,Expires in 21 days,Job 2445443 - Ref NN54282
0,Senior Data Engineer at In4 Group Pty Ltd,"SCOPE:  The BI development team requires the services of a Senior Data Engineer to assist with development work required on Business Intelligence (BI) Projects, within the Business and Systems Technology Department.  The data engineer will be required to perform development functions as per BI standards in the South African Reserve Bank.  EXPERIENCE:   3-5 years + experience working with Oracle PL/SQL, SQL and MDX3-5 years + experience in Extraction Transformation and Loading (ETL) development environment using the Oracle Data Integrator (ODI).Work with the technical architecture and development team to contribute to design and analysiInterpret data and analyse resultWork with external teams to resolve data issues.Design\Implement Data Management strategies which include validation of source data and the use of data in management reportingGood technical understanding of data modelling, design and architecture principles and techniqueExperience in high data volume environmenMust have experience in the Kimball methodologyExperience with OLAP CubesDimensional data modelling experienceExperience in working with multi-dimensional cubesProject development exposure (waterfall and/or agile methodologies).ADVANTAGEOUS:  Working knowledge on programming tools like Python, R, Java, Scala and Julia is advantageousWorking knowledge on PostgreSQL, Spark, Hadoop, HDFS and Amazon S3Experience of working in an agile development environmen Disciplined Agile Development (DAD) experience will be an added advantage.MINIMUM TECHNICAL QUALITIES:  System architecture (technical design and implementation processes)Database analysis, design & administrationTechnical Test Plan DesignIT systems development processesSystem EngineeringProgrammingApplication developmentStandards and governanceData modelling using:o Table structures o Store Procedures o SSIS Packages o SQL  COMPETENCIES:  Proficiency in English (both verbal and written skills);Client OrientationVerbal and written communicationManaging Work/Time managementProblem solving and analysisContributing to Team SuccessProven ability to accurately estimate workPays attention to details.CERTIFICATIONS:  A BSc degree in Computer Science / Information Systems / Mathematics/ Statistics or equivalent.KEY DELIVARABLES:  Participate in the interpretation of business requirements and functional specifications as provided by the business analyst into BI solution designs to implement all ETL procedures for all new projectsDesign, construct, install, test and maintain highly scalable data management systeDevelopment of the Extract Transfer and Load (ETL) function using appropriate technology toolsets to get data into a data warehouse or data mart according to design specifications.Design and development of the Data Warehouses batch management control processes and error handling procedures.Application of appropriate Data Quality tools and techniques to ensure that consistent and quality data is provided to the data warehouseAssist with the design of the star-schemas and/or cubes for consumption by the Oracle BI toolset.Design and develop reports, graphs, analytics, KPIs on the desktop and mobile platforms for analysis purposes in line with the business requirementsEnsure systems meet business requirements and industry practices.Integrate new data management technologies and software engineering tools into existing structureInstall and update disaster recovery procedures.Recommend ways to improve data reliability, efficiency and quality.Collaborate with data architects, modellers and IT team members on project goals.Determine in conjunction with the Data Architect what data management systems are appropriate.Obtain information from the Data Scientist to determine which data is needed for analysis to determine and provide data which is needed .Support the achievement of the business strategy, objectives and valueSeek opportunities to improve business processes, models and systems though agile thinking.
Desired Skills: 

Data Science
Python

Desired Work Experience: 

More than 10 years

Desired Qualification Level: 

Degree

About The Employer: 
In4 Group pty Ltd
","R66,700 - R75,000 per month",Contract Specialist position,"Pretoria CBD, Gauteng",Posted 31 Jan 2022,Expires in 34 days,Job 2447561
1,Data Analyst - Contract - Remote - R500 per hour at e-Merge IT Recruitment,"A solution driven software firm that focuses on building best quality technology solutions is currently in search for a Data Analyst.  The incumbent will be working in Retail Customer engagement tribe where we tackle topics such as Analytical CRM Data Services, Campaign Management Solution, Personalization and Customer 360. With special focus on C360 and Customer Analytical record Product.  Apply Now!  Requirements:  Diploma or Degree in an Information Technology related field5-6 years commercial experienceData AnalyticsQlik SensePower BIAWSGCPSQLNoSQLAgileResponsibilities:  Data modelling via standard methodologies and techniquesCritical mind-set and drive to innovate existing processesConstant commitment to improve data reliability, lineage (source to target), efficiency and quality to achieve monetizationDrive and ability to work with data quality automation and evolving process of data quality automationDesign and implement the workflows to improve utilization of data via Bank´s multiplatform integrationWork with the Data Product and Data Science team to ensure retail data is viable and used appropriately to campaign objectives in both CRM and digital marketingWorking with reporting and visualization tools (Qlik Sense, Power BI)Drive the implementation of digital analytics platforms; incl. Data Management Platform or Customer Data Platforms and serve as a technical liaison and consultant to business stakeholdersReference Number for this position is NN54200 which is a Remote based position offering a contract rate of up to R500 per hour negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

Data Analytics
Qlik Sense
Power BI
AWS
SQL
Agile

Desired Work Experience: 

5 to 10 years Data Analysis / Data Warehousing

Desired Qualification Level: 

Degree

",Undisclosed,Contract Senior position,"Johannesburg, Gauteng",Posted 30 Jan 2022,Expires in 24 days,Job 2446083 - Ref NN54200
2,Data Science at Sabenza IT,"Are you a fundi at Azure Cloud architecture and do you have a passion for Data Science and AI. Are you looking for a challenging venture where you will be responsible for managing projects and processes in the Data space, then this is the role for you.  Location : Gauteng  Tasks and responsibilities  Managing projects / processesAbility to develop within a specific sought-after programming languageStrong BI Consultant / Development experienceStrong working knowledge with software development tools, techniques and approaches used to build application solutionsWorking knowledge with software development tools, techniques and approaches used to build application solutionsCloud computing technologies, Business drivers and emerging computing trends.Understanding of BI Tools will be beneficialUnderstanding of integration between different technologiesCoordination between development and support environmentsAssisting with the business casePlanning and monitoringEliciting requirementsRequirement organisationTranslating and simplifying requirementsRequirements management and communicationRequirement analysisDocument requirements in appropriate format depending on methodology followedAssist with identification and management of risksSkills required: (but not limited to)We are looking for developer with profound monitoring solution knowledge who is passionate about designing, developing and operating smart monitoring solutions to ensure the accuracy of our production critical ERP systems.  Setting up and operation of Splunk clientsAbility to create complex Splunk queries and dashboardsKnowledge of Splunk AI solutions and the integration of additional AI solutions frameworksKnowledge of data analysis and correlation via LogFiles and metricsKnowledge of the creation of standard interfaces for obtaining new data sources (LogFiles etc.)Knowledge of applied algorithms in the field of artificial intelligence/machine learning (eg. standard Python algorithms)Knowledge of Natural language processing (NLP)Knowledge of modern programming languages (eg. Python, Java)Knowledge in the field of testing predictive systems
Desired Skills: 

Programming languages Java/Python
standard Python algorithms
Data analysis
BI consultant or development experience
NLP

",Undisclosed,Contract Senior position,"Johannesburg Region, Gauteng",Posted 25 Jan 2022,Expires in 28 days,Job 2446614 - Ref Nadine
3,Senior Data Engineer,"Our client, a data science-focused company using the latest AI and ML tools, provide a clear roadmap to their large global clients solve complex issues.  Think like a scientist; build like a software engineer. Work in a company where you are valued and you have a voice. If you enjoy a fast-paced, high performance, cross-collaborative environment this may just be the place for you.  The environment:You will create robust and scalable computing environments which bring data-driven technologies to users. You will be constantly challenging yourself with your team(s) to build more effective data architectures, flexing the freedom to incorporate new technologies and expand the computing power.  We're looking for strong candidates with a mix of the following:  Fluency in Python and some variety of SQLA strong degree in computer science, or a quantitative disciplineExperience in designing and setting up large data systems, with an ability to assess the tradeoffs in architectural decisionsExperience with distributed processing frameworks (Hadoop, Spark etc)Knowledge of large data architectures (data warehouses, lakes, meshes, etc)Experience working in cloud environments, especially Azure
Desired Skills: 

Python
SQL
design large data systems
distributed processing frameworks
Hadoop
Spark
data architectures
data warehouses
lakes
meshes
cloud
Azure
AWS
Big data

Desired Work Experience: 

5 to 10 years

Desired Qualification Level: 

Degree

Employer & Job Benefits: 

fully remote work
learning budget
performance bonus
20 days leave
study leave
laptop

","R75,000 per month",Permanent Senior position,Work From Home,Posted 29 Jan 2022,Expires in 23 days,Job 2445920
